drug,protein,proteinname
445154,51479,ANKFY1
5350,56172,ANKH
2519,54882,ANKHD1
5350,54882,ANKHD1
2519,54467,ANKIB1
65064,54467,ANKIB1
2519,23141,ANKLE2
65064,57037,ANKMY2
445154,57037,ANKMY2
445154,27063,ANKRD1
445154,55608,ANKRD10
65064,55608,ANKRD10
445154,29123,ANKRD11
2519,29123,ANKRD11
2519,23253,ANKRD12
2519,88455,ANKRD13A
445154,81573,ANKRD13C
2519,26057,ANKRD17
445154,253650,ANKRD18A
5350,26287,ANKRD2
2519,22852,ANKRD26
65064,22852,ANKRD26
445154,22852,ANKRD26
2519,84079,ANKRD27
65064,91526,ANKRD44
445154,91526,ANKRD44
445154,157567,ANKRD46
2519,57182,ANKRD50
445154,57182,ANKRD50
445154,79998,ANKRD53
2519,129138,ANKRD54
2519,23294,ANKS1A
445154,257629,ANKS4B
5350,57101,ANO2
5350,338440,ANO9
445154,81611,ANP32E
2519,84168,ANTXR1
445154,311,ANXA11
65064,311,ANXA11
2519,311,ANXA11
445154,302,ANXA2
2519,302,ANXA2
2519,55435,AP1AR
445154,164,AP1G1
2519,8907,AP1M1
65064,130340,AP1S3
65064,161,AP2A2
2519,1173,AP2M1
2519,8943,AP3D1
445154,8943,AP3D1
445154,10717,AP4B1
445154,23431,AP4E1
2519,23431,AP4E1
445154,11154,AP4S1
65064,55317,AP5S1
65064,317,APAF1
445154,317,APAF1
1548943,317,APAF1
445154,320,APBA1
2519,9546,APBA3
5350,54518,APBB1IP
65064,323,APBB2
445154,10297,APC2
5350,147495,APCDD1
2519,327,APEH
445154,328,APEX1
65064,328,APEX1
65064,83464,APH1B
445154,8539,API5
445154,8862,APLN
5350,333,APLP1
2519,334,APLP2
445154,334,APLP2
2519,335,APOA1
445154,335,APOA1
2519,336,APOA2
445154,336,APOA2
65064,338,APOB
445154,338,APOB
2519,338,APOB
5350,9582,APOBEC3B
445154,9582,APOBEC3B
6917864,27350,APOBEC3C
445154,200316,APOBEC3F
1548943,341,APOC1
2519,341,APOC1
445154,341,APOC1
2519,345,APOC3
2519,348,APOE
445154,348,APOE
2519,8542,APOL1
445154,8542,APOL1
5350,8542,APOL1
65064,23780,APOL2
445154,23780,APOL2
445154,80831,APOL5
445154,79135,APOO
2519,139322,APOOL
445154,10513,APPBP2
2519,26060,APPL1
65064,55198,APPL2
445154,54840,APTX
445154,358,AQP1
1794427,358,AQP1
65064,358,AQP1
445154,282679,AQP11
445154,359,AQP2
445154,364,AQP7
65064,9716,AQR
445154,9716,AQR
65064,367,AR
6917864,367,AR
1794427,367,AR
2519,367,AR
445154,367,AR
5350,367,AR
5833,367,AR
1548943,367,AR
2519,369,ARAF
445154,369,ARAF
2519,116985,ARAP1
65064,64411,ARAP3
445154,23237,ARC
2519,372,ARCN1
65064,372,ARCN1
2519,55738,ARFGAP1
2519,84364,ARFGAP2
445154,84364,ARFGAP2
2519,10565,ARFGEF1
65064,10565,ARFGEF1
2519,10564,ARFGEF2
445154,10564,ARFGEF2
2519,27236,ARFIP1
2519,23647,ARFIP2
5350,384,ARG2
445154,384,ARG2
2519,55082,ARGLU1
2519,392,ARHGAP1
65064,79658,ARHGAP10
2519,94134,ARHGAP12
65064,94134,ARHGAP12
2519,55114,ARHGAP17
2519,93663,ARHGAP18
65064,93663,ARHGAP18
65064,57569,ARHGAP20
5350,57569,ARHGAP20
2519,57584,ARHGAP21
65064,57584,ARHGAP21
445154,9938,ARHGAP25
5350,23092,ARHGAP26
2519,23092,ARHGAP26
445154,201176,ARHGAP27
2519,9743,ARHGAP32
445154,115703,ARHGAP33
2519,2909,ARHGAP35
445154,394,ARHGAP5
2519,394,ARHGAP5
2519,9138,ARHGEF1
2519,55160,ARHGEF10L
2519,23365,ARHGEF12
2519,27237,ARHGEF16
445154,27237,ARHGEF16
2519,9828,ARHGEF17
2519,23370,ARHGEF18
2519,9181,ARHGEF2
445154,115557,ARHGEF25
65064,26084,ARHGEF26
2519,26084,ARHGEF26
65064,64283,ARHGEF28
2519,64283,ARHGEF28
445154,50650,ARHGEF3
65064,50650,ARHGEF3
5350,84904,ARHGEF39
445154,84904,ARHGEF39
2519,55701,ARHGEF40
2519,7984,ARHGEF5
5350,23229,ARHGEF9
2519,57492,ARID1B
2519,1820,ARID3A
5350,1820,ARID3A
2519,5926,ARID4A
445154,5926,ARID4A
2519,51742,ARID4B
2519,10865,ARID5A
5350,84159,ARID5B
445154,10425,ARIH2
2519,200894,ARL13B
65064,54622,ARL15
445154,403,ARL3
2519,379,ARL4D
2519,23204,ARL6IP1
2519,51329,ARL6IP4
2519,151188,ARL6IP6
445154,83787,ARMC10
445154,79798,ARMC5
445154,79637,ARMC7
65064,80210,ARMC9
445154,51566,ARMCX3
445154,10093,ARPC4
65064,81873,ARPC5L
445154,10776,ARPP19
445154,409,ARRB2
65064,57561,ARRDC3
1548943,91947,ARRDC4
445154,340075,ARSI
65064,340075,ARSI
65064,420,ART4
445154,9048,ARTN
65064,64801,ARV1
2519,421,ARVCF
445154,170302,ARX
2519,170302,ARX
445154,427,ASAH1
65064,50807,ASAP1
2519,50807,ASAP1
445154,50807,ASAP1
2519,55616,ASAP3
445154,51665,ASB1
445154,79754,ASB13
445154,142685,ASB15
445154,51130,ASB3
445154,51666,ASB4
65064,140459,ASB6
445154,140460,ASB7
5350,140462,ASB9
445154,429,ASCL1
65064,25842,ASF1A
2519,25842,ASF1A
5350,25842,ASF1A
2519,433,ASGR2
65064,9070,ASH2L
445154,41,ASIC1
2519,8623,ASMTL
445154,440,ASNS
2519,440,ASNS
5350,440,ASNS
445154,554235,ASPDH
5350,444,ASPH
445154,444,ASPH
65064,259266,ASPM
2519,259266,ASPM
445154,259266,ASPM
2519,79058,ASPSCR1
445154,80150,ASRGL1
2519,171023,ASXL1
2519,55252,ASXL2
445154,84896,ATAD1
2519,84896,ATAD1
65064,54454,ATAD2B
2519,54454,ATAD2B
2519,55210,ATAD3A
2519,79915,ATAD5
445154,79915,ATAD5
445154,466,ATF1
445154,1386,ATF2
445154,467,ATF3
65064,467,ATF3
1548943,467,ATF3
445154,22809,ATF5
445154,22926,ATF6
445154,11016,ATF7
2519,11016,ATF7
2519,55729,ATF7IP
65064,83734,ATG10
6917864,9140,ATG12
445154,9140,ATG12
2519,23130,ATG2A
2519,55102,ATG2B
445154,55102,ATG2B
445154,64422,ATG3
6917864,64422,ATG3
65064,115201,ATG4A
65064,84971,ATG4D
2519,79065,ATG9A
2519,471,ATIC
2519,64225,ATL2
445154,64225,ATL2
445154,25923,ATL3
65064,1822,ATN1
2519,1822,ATN1
5350,84913,ATOH8
65064,57205,ATP10D
2519,57130,ATP13A1
2519,79572,ATP13A3
445154,79572,ATP13A3
2519,476,ATP1A1
2519,478,ATP1A3
5350,478,ATP1A3
65064,481,ATP1B1
445154,482,ATP1B2
445154,488,ATP2A2
65064,488,ATP2A2
445154,489,ATP2A3
65064,490,ATP2B1
2519,490,ATP2B1
445154,490,ATP2B1
445154,496,ATP4B
2519,23545,ATP6V0A2
65064,527,ATP6V0C
445154,155066,ATP6V0E2
445154,523,ATP6V1A
445154,525,ATP6V1B1
445154,51382,ATP6V1D
2519,51382,ATP6V1D
445154,51606,ATP6V1H
445154,538,ATP7A
65064,540,ATP7B
445154,57198,ATP8B2
445154,374868,ATP9B
2519,545,ATR
65064,545,ATR
5281672,545,ATR
445154,545,ATR
445154,546,ATRX
2519,546,ATRX
2519,6310,ATXN1
5350,25814,ATXN10
2519,342371,ATXN1L
65064,6311,ATXN2
2519,6311,ATXN2
445154,11273,ATXN2L
2519,11273,ATXN2L
65064,11273,ATXN2L
445154,4287,ATXN3
65064,4287,ATXN3
2519,6314,ATXN7
65064,222255,ATXN7L1
2519,56970,ATXN7L3
445154,56970,ATXN7L3
2519,550,AUP1
5350,6790,AURKA
445154,6790,AURKA
65064,6790,AURKA
445154,6795,AURKC
445154,26053,AUTS2
2519,26053,AUTS2
2519,57099,AVEN
445154,23080,AVL9
445154,554,AVPR2
445154,8313,AXIN2
2519,8313,AXIN2
445154,51582,AZIN1
65064,51582,AZIN1
445154,567,B2M
5350,8705,B3GALT4
445154,79369,B3GNT4
65064,146712,B3GNTL1
5350,2683,B4GALT1
445154,8704,B4GALT2
445154,11285,B4GALT7
65064,570,BAAT
2519,571,BACH1
5350,571,BACH1
445154,572,BAD
5350,572,BAD
1548943,572,BAD
65064,573,BAG1
5350,573,BAG1
65064,9532,BAG2
445154,9532,BAG2
65064,9531,BAG3
5350,9531,BAG3
1548943,9531,BAG3
2519,9531,BAG3
2519,9530,BAG4
65064,9530,BAG4
445154,9529,BAG5
65064,7917,BAG6
2519,7917,BAG6
2519,55971,BAIAP2L1
2519,8815,BANF1
445154,8314,BAP1
2519,8314,BAP1
445154,8538,BARX2
5350,55509,BATF3
2519,9031,BAZ1B
2519,11176,BAZ2A
2519,29994,BAZ2B
445154,29994,BAZ2B
65064,29994,BAZ2B
5350,27113,BBC3
2519,27113,BBC3
445154,27113,BBC3
639665,27113,BBC3
445154,8424,BBOX1
445154,582,BBS1
65064,79738,BBS10
65064,583,BBS2
445154,583,BBS2
445154,585,BBS4
65064,585,BBS4
2519,56987,BBX
65064,56987,BBX
445154,4059,BCAM
2519,4059,BCAM
5350,4059,BCAM
445154,63827,BCAN
445154,10134,BCAP31
2519,54828,BCAS3
445154,54828,BCAS3
445154,56647,BCCIP
445154,594,BCKDHB
2519,10295,BCKDK
1548943,8915,BCL10
445154,8915,BCL10
1548943,598,BCL2L1
445154,598,BCL2L1
65064,598,BCL2L1
5350,598,BCL2L1
445154,10018,BCL2L11
639665,10018,BCL2L11
2519,83596,BCL2L12
445154,83596,BCL2L12
445154,23786,BCL2L13
445154,599,BCL2L2
5350,602,BCL3
65064,602,BCL3
2519,602,BCL3
445154,602,BCL3
445154,255877,BCL6B
65064,605,BCL7A
2519,9275,BCL7B
2519,607,BCL9
2519,283149,BCL9L
445154,283149,BCL9L
2519,9774,BCLAF1
1548943,9774,BCLAF1
2519,54880,BCOR
2519,63035,BCORL1
445154,613,BCR
2519,613,BCR
65064,623,BDKRB1
445154,55814,BDP1
65064,8678,BECN1
2519,8678,BECN1
445154,8678,BECN1
445154,10282,BET1
