drug,protein,proteinname
2519,8661,EIF3A
65064,8662,EIF3B
2519,8662,EIF3B
2519,8667,EIF3H
2519,27335,EIF3K
445154,27335,EIF3K
2519,51386,EIF3L
2519,10480,EIF3M
65064,1974,EIF4A2
445154,1974,EIF4A2
445154,1977,EIF4E
2519,1977,EIF4E
5350,317649,EIF4E3
445154,1978,EIF4EBP1
2519,1978,EIF4EBP1
2519,1979,EIF4EBP2
2519,56478,EIF4ENIF1
2519,1981,EIF4G1
445154,1982,EIF4G2
65064,1984,EIF5A
2519,1984,EIF5A
5350,1984,EIF5A
445154,1984,EIF5A
5350,56648,EIF5A2
2519,9669,EIF5B
2519,3692,EIF6
2519,60528,ELAC2
445154,60528,ELAC2
65064,1991,ELANE
2519,1994,ELAVL1
65064,1994,ELAVL1
445154,1994,ELAVL1
65064,1993,ELAVL2
445154,1998,ELF2
2519,1998,ELF2
2519,2000,ELF4
5350,114794,ELFN2
445154,2002,ELK1
65064,2002,ELK1
2519,8178,ELL
2519,22936,ELL2
65064,22936,ELL2
5350,22936,ELL2
445154,255520,ELMOD2
65064,84337,ELOF1
65064,64834,ELOVL1
65064,54898,ELOVL2
445154,54898,ELOVL2
445154,60481,ELOVL5
5350,79071,ELOVL6
445154,79071,ELOVL6
445154,55250,ELP2
2519,55140,ELP3
445154,26610,ELP4
65064,26610,ELP4
445154,23587,ELP5
445154,23065,EMC1
65064,9694,EMC2
445154,51234,EMC4
2519,51234,EMC4
65064,2010,EMD
445154,2010,EMD
2519,2010,EMD
65064,10436,EMG1
445154,10436,EMG1
2519,10436,EMG1
445154,84034,EMILIN2
2519,256364,EML3
2519,27436,EML4
65064,27436,EML4
5350,2013,EMP2
445154,2018,EMX2
445154,2019,EN1
445154,2020,EN2
445154,55740,ENAH
445154,8507,ENC1
5350,8507,ENC1
445154,23052,ENDOD1
445154,2023,ENO1
2519,2023,ENO1
5350,2027,ENO3
445154,2027,ENO3
2519,58478,ENOPH1
65064,10495,ENOX2
2519,5167,ENPP1
5350,954,ENTPD2
445154,956,ENTPD3
445154,957,ENTPD5
445154,285203,EOGT
5281672,2033,EP300
5350,2033,EP300
65064,2033,EP300
445154,2033,EP300
2519,2033,EP300
2519,57634,EP400
2519,2035,EPB41
445154,2037,EPB41L2
2519,2037,EPB41L2
445154,23136,EPB41L3
2519,54566,EPB41L4B
65064,54566,EPB41L4B
445154,57669,EPB41L5
2519,57669,EPB41L5
2519,80314,EPC1
445154,80314,EPC1
2519,26122,EPC2
2519,57724,EPG5
65064,57724,EPG5
445154,2043,EPHA4
65064,2043,EPHA4
5350,2045,EPHA7
2519,2050,EPHB4
445154,2052,EPHX1
5350,2052,EPHX1
445154,2053,EPHX2
445154,9852,EPM2AIP1
65064,9852,EPM2AIP1
2519,29924,EPN1
445154,22905,EPN2
65064,22905,EPN2
445154,55040,EPN3
445154,2056,EPO
445154,2057,EPOR
1548943,2057,EPOR
445154,57119,EPPIN
445154,2060,EPS15
2519,2060,EPS15
65064,2059,EPS8
2519,2059,EPS8
2519,64787,EPS8L2
445154,64787,EPS8L2
2519,79574,EPS8L3
65064,94240,EPSTI1
2519,2064,ERBB2
445154,2064,ERBB2
65064,2064,ERBB2
1548943,2064,ERBB2
445154,2066,ERBB4
65064,23085,ERC1
2519,23085,ERC1
445154,2071,ERCC3
445154,2072,ERCC4
5350,2072,ERCC4
2519,2072,ERCC4
65064,2072,ERCC4
2519,2074,ERCC6
2519,375748,ERCC6L2
445154,375748,ERCC6L2
65064,375748,ERCC6L2
445154,1161,ERCC8
2519,2077,ERF
5350,2078,ERG
65064,51290,ERGIC2
65064,157697,ERICH1
445154,157697,ERICH1
65064,27248,ERLEC1
445154,2081,ERN1
1548943,2081,ERN1
65064,10961,ERP29
445154,405754,ERVFRD-1
2519,114799,ESCO1
445154,114799,ESCO1
2519,157570,ESCO2
65064,2098,ESD
2519,2098,ESD
445154,51575,ESF1
2519,51575,ESF1
445154,2099,ESR1
5833,2099,ESR1
5350,2099,ESR1
639665,2099,ESR1
6917864,2099,ESR1
65064,2100,ESR2
5833,2100,ESR2
445154,2100,ESR2
2519,2101,ESRRA
445154,2101,ESRRA
2519,23344,ESYT1
2519,57488,ESYT2
2519,2108,ETFA
445154,2108,ETFA
445154,2110,ETFDH
5350,55224,ETNK2
445154,55224,ETNK2
445154,2113,ETS1
5350,2114,ETS2
445154,2116,ETV2
65064,2117,ETV3
2519,2117,ETV3
2519,2119,ETV5
65064,2119,ETV5
5350,2119,ETV5
2519,2120,ETV6
65064,2120,ETV6
2519,55194,EVA1B
445154,2125,EVPL
445154,2128,EVX1
445154,2130,EWSR1
445154,55218,EXD2
445154,9156,EXO1
2519,55763,EXOC1
445154,55763,EXOC1
65064,55763,EXOC1
65064,55770,EXOC2
2519,11336,EXOC3
65064,60412,EXOC4
2519,60412,EXOC4
445154,10640,EXOC5
445154,54536,EXOC6
65064,54536,EXOC6
2519,23265,EXOC7
445154,9941,EXOG
445154,51013,EXOSC1
445154,23404,EXOSC2
2519,2138,EYA1
445154,2138,EYA1
65064,2139,EYA2
445154,2139,EYA2
445154,2145,EZH1
445154,2146,EZH2
2519,7430,EZR
1794427,2159,F10
5350,50848,F11R
2519,50848,F11R
5350,2161,F12
5350,2162,F13A1
65064,2147,F2
445154,2147,F2
1794427,2147,F2
5350,79152,FA2H
5350,158584,FAAH2
5350,2170,FABP3
445154,2167,FABP4
5833,2167,FABP4
1548943,2167,FABP4
445154,8772,FADD
2519,8772,FADD
65064,8772,FADD
445154,3992,FADS1
445154,2184,FAH
65064,55179,FAIM
445154,11170,FAM107A
445154,83641,FAM107B
2519,83641,FAM107B
65064,90362,FAM110B
445154,90362,FAM110B
2519,642273,FAM110C
445154,642273,FAM110C
445154,63901,FAM111A
2519,81558,FAM117A
445154,81558,FAM117A
2519,150864,FAM117B
65064,79607,FAM118B
2519,23196,FAM120A
445154,9715,FAM131B
445154,57579,FAM135A
2519,57579,FAM135A
5350,84140,FAM161A
445154,145483,FAM161B
445154,26355,FAM162A
65064,26355,FAM162A
2519,130074,FAM168B
2519,26049,FAM169A
445154,165215,FAM171B
445154,51252,FAM178B
2519,79632,FAM184A
445154,27146,FAM184B
2519,8603,FAM193A
445154,139231,FAM199X
445154,203259,FAM219A
445154,84915,FAM222A
445154,55731,FAM222B
445154,26017,FAM32A
445154,60343,FAM3A
65064,26240,FAM50B
2519,9679,FAM53B
2519,51307,FAM53C
2519,143684,FAM76B
5350,84985,FAM83A
2519,81610,FAM83D
2519,286077,FAM83H
2519,51439,FAM8A1
2519,157769,FAM91A1
445154,157769,FAM91A1
445154,25940,FAM98A
65064,22909,FAN1
445154,22909,FAN1
65064,2176,FANCC
2519,2178,FANCE
445154,2188,FANCF
445154,2189,FANCG
2519,55215,FANCI
445154,55215,FANCI
445154,55120,FANCL
2519,57697,FANCM
445154,57697,FANCM
65064,57697,FANCM
445154,84188,FAR1
5350,10160,FARP1
2519,10160,FARP1
2519,9855,FARP2
65064,10667,FARS2
2519,2193,FARSA
2519,355,FAS
5350,355,FAS
6917864,355,FAS
1548943,355,FAS
445154,355,FAS
65064,355,FAS
5350,356,FASLG
445154,356,FASLG
5350,2194,FASN
445154,2194,FASN
2519,2194,FASN
65064,2194,FASN
445154,79675,FASTKD1
65064,79675,FASTKD1
445154,22868,FASTKD2
2519,22868,FASTKD2
65064,22868,FASTKD2
65064,79633,FAT4
2519,2197,FAU
65064,2197,FAU
445154,54751,FBLIM1
445154,2199,FBLN2
5281672,2203,FBP1
445154,64319,FBRS
445154,57666,FBRSL1
65064,54850,FBXL12
2519,222235,FBXL13
2519,64839,FBXL17
445154,80028,FBXL18
2519,54620,FBXL19
1548943,25827,FBXL2
65064,25827,FBXL2
445154,84961,FBXL20
2519,84961,FBXL20
445154,26224,FBXL3
65064,26235,FBXL4
65064,26234,FBXL5
445154,26233,FBXL6
2519,80204,FBXO11
445154,80204,FBXO11
445154,115290,FBXO17
445154,26263,FBXO22
445154,114907,FBXO32
5350,114907,FBXO32
445154,55030,FBXO34
2519,81545,FBXO38
445154,200933,FBXO45
445154,23403,FBXO46
445154,26268,FBXO9
2519,23291,FBXW11
5350,2204,FCAR
2519,115548,FCHO2
65064,115548,FCHO2
2519,9873,FCHSD2
65064,9873,FCHSD2
445154,9873,FCHSD2
445154,8547,FCN3
65064,115352,FCRL3
2519,115352,FCRL3
445154,2222,FDFT1
1548943,2222,FDFT1
2519,2222,FDFT1
445154,2224,FDPS
445154,2232,FDXR
5350,2235,FECH
65064,55527,FEM1A
445154,10116,FEM1B
65064,56929,FEM1C
445154,2237,FEN1
65064,2241,FER
2519,2241,FER
445154,2241,FER
2519,55612,FERMT1
2519,10979,FERMT2
65064,10979,FERMT2
2519,2242,FES
445154,9637,FEZ2
5350,2867,FFAR2
2519,2245,FGD1
445154,152273,FGD5
445154,2255,FGF10
445154,8823,FGF16
65064,8817,FGF18
445154,2247,FGF2
2519,2247,FGF2
65064,2247,FGF2
445154,26291,FGF21
445154,2249,FGF4
445154,2251,FGF6
445154,2253,FGF8
445154,2260,FGFR1
445154,26127,FGFR1OP2
5350,2261,FGFR3
2519,2261,FGFR3
2519,2264,FGFR4
445154,2271,FH
5350,2274,FHL2
445154,2274,FHL2
2519,29109,FHOD1
445154,84929,FIBCD1
445154,63979,FIGNL1
445154,51024,FIS1
5350,51024,FIS1
65064,51024,FIS1
445154,60681,FKBP10
65064,60681,FKBP10
445154,2281,FKBP1B
445154,2288,FKBP4
445154,2289,FKBP5
2519,2289,FKBP5
445154,23770,FKBP8
2519,201163,FLCN
1548943,201163,FLCN
6917864,2316,FLNA
2519,2316,FLNA
65064,2316,FLNA
2519,2317,FLNB
445154,10211,FLOT1
2519,2319,FLOT2
445154,23769,FLRT1
445154,23768,FLRT2
65064,23768,FLRT2
445154,2321,FLT1
445154,2323,FLT3LG
445154,84256,FLYWCH1
2519,84256,FLYWCH1
2519,114984,FLYWCH2
2519,114793,FMNL2
65064,114793,FMNL2
445154,114793,FMNL2
445154,2332,FMR1
445154,79672,FN3KRP
6433206,23048,FNBP1
2519,54874,FNBP1L
65064,54874,FNBP1L
2519,23360,FNBP4
2519,22862,FNDC3A
445154,22862,FNDC3A
65064,22862,FNDC3A
2519,96459,FNIP1
2519,57600,FNIP2
65064,54914,FOCAD
5350,2348,FOLR1
65064,2354,FOSB
2519,3169,FOXA1
445154,3169,FOXA1
1548943,3169,FOXA1
2519,3170,FOXA2
445154,3170,FOXA2
445154,3171,FOXA3
445154,2304,FOXE1
445154,2294,FOXF1
445154,2299,FOXI1
445154,55810,FOXJ2
2519,55810,FOXJ2
2519,221937,FOXK1
2519,3607,FOXK2
445154,2300,FOXL1
445154,668,FOXL2
445154,1112,FOXN3
2519,2309,FOXO3
639665,2309,FOXO3
445154,2309,FOXO3
445154,4303,FOXO4
65064,27086,FOXP1
2519,116113,FOXP4
445154,116113,FOXP4
5350,94234,FOXQ1
445154,2307,FOXS1
5350,2358,FPR2
2519,118924,FRA10AC1
445154,118924,FRA10AC1
2519,80144,FRAS1
5350,80144,FRAS1
2519,2444,FRK
2519,83786,FRMD8
445154,83786,FRMD8
2519,10818,FRS2
65064,10818,FRS2
445154,10818,FRS2
65064,10129,FRY
2519,10129,FRY
2519,285527,FRYL
65064,285527,FRYL
445154,23105,FSTL4
445154,10841,FTCD
445154,2495,FTH1
6917864,2495,FTH1
5350,2495,FTH1
5350,2512,FTL
2519,24140,FTSJ1
2519,117246,FTSJ3
445154,117246,FTSJ3
2519,8880,FUBP1
445154,8880,FUBP1
2519,8939,FUBP3
445154,2517,FUCA1
445154,2519,FUCA2
65064,2519,FUCA2
2519,2521,FUS
2519,2530,FUT8
65064,2530,FUT8
65064,2395,FXN
445154,2395,FXN
445154,8087,FXR1
2519,8087,FXR1
2519,9513,FXR2
445154,53822,FXYD7
2519,84248,FYTTD1
65064,8321,FZD1
445154,2535,FZD2
65064,2535,FZD2
445154,8322,FZD4
2519,7855,FZD5
65064,55632,G2E3
445154,55632,G2E3
445154,10146,G3BP1
2519,10146,G3BP1
5350,9908,G3BP2
2519,9908,G3BP2
5350,2539,G6PD
2519,2539,G6PD
65064,2548,GAA
5350,9846,GAB2
65064,9846,GAB2
2519,9846,GAB2
445154,11337,GABARAP
5350,23710,GABARAPL1
445154,2551,GABPA
2519,2551,GABPA
445154,2553,GABPB1
445154,2557,GABRA4
445154,2561,GABRB2
65064,1647,GADD45A
5350,1647,GADD45A
1548943,1647,GADD45A
445154,1647,GADD45A
445154,10912,GADD45G
65064,51083,GAL
445154,51083,GAL
445154,79690,GAL3ST4
445154,2585,GALK2
65064,130589,GALM
65064,2589,GALNT1
445154,55568,GALNT10
445154,79623,GALNT14
445154,51809,GALNT7
445154,8484,GALR3
2519,23193,GANAB
65064,23193,GANAB
445154,2597,GAPDH
1548943,2597,GAPDH
2519,2597,GAPDH
445154,26130,GAPVD1
2519,26130,GAPVD1
2519,84253,GARNL3
445154,2618,GART
5350,2619,GAS1
2519,2620,GAS2
445154,283431,GAS2L3
445154,2520,GAST
2519,2624,GATA2
445154,140628,GATA5
2519,54815,GATAD2A
2519,57459,GATAD2B
65064,5188,GATB
5350,2628,GATM
445154,2632,GBE1
65064,2632,GBE1
2519,8729,GBF1
65064,25801,GCA
445154,23464,GCAT
445154,79571,GCC1
65064,79571,GCC1
2519,6936,GCFC2
445154,6936,GCFC2
1548943,2643,GCH1
445154,2643,GCH1
445154,2644,GCHFR
5350,2644,GCHFR
445154,2645,GCK
445154,2730,GCLM
1794427,2730,GCLM
6917864,2730,GCLM
5350,2730,GCLM
445154,9247,GCM2
65064,2650,GCNT1
65064,2651,GCNT2
445154,2651,GCNT2
5350,9245,GCNT3
445154,9245,GCNT3
445154,9615,GDA
2519,9615,GDA
445154,54834,GDAP2
5350,10220,GDF11
1548943,9518,GDF15
445154,9518,GDF15
445154,2658,GDF2
65064,2661,GDF9
2519,2665,GDI2
65064,284161,GDPD1
445154,79153,GDPD3
2519,50628,GEMIN4
2519,25929,GEMIN5
2519,79833,GEMIN6
65064,79833,GEMIN6
2519,54960,GEMIN8
445154,348654,GEN1
2519,2670,GFAP
1548943,2670,GFAP
445154,2670,GFAP
2519,2671,GFER
445154,2671,GFER
2519,85476,GFM1
445154,84340,GFM2
445154,54438,GFOD1
445154,2674,GFRA1
445154,2675,GFRA2
445154,64096,GFRA4
445154,8836,GGH
445154,199720,GGN
445154,79893,GGNBP2
2519,79893,GGNBP2
2519,2686,GGT7
2519,2688,GH1
445154,2690,GHR
445154,2691,GHRH
445154,51738,GHRL
2519,54994,GID8
2519,64599,GIGYF1
445154,26058,GIGYF2
2519,26058,GIGYF2
65064,26058,GIGYF2
65064,54826,GIN1
65064,9837,GINS1
445154,9837,GINS1
2519,51659,GINS2
445154,51659,GINS2
2519,54810,GIPC2
5350,126326,GIPC3
2519,28964,GIT1
2519,9815,GIT2
65064,9815,GIT2
445154,9815,GIT2
445154,2700,GJA3
65064,2701,GJA4
445154,2701,GJA4
5350,2702,GJA5
445154,2706,GJB2
445154,125111,GJD3
445154,219770,GJD4
445154,2710,GK
445154,256356,GK5
445154,2717,GLA
5350,2717,GLA
65064,113263,GLCCI1
2519,113263,GLCCI1
445154,26035,GLCE
445154,2735,GLI1
445154,84662,GLIS2
445154,11146,GLMN
65064,11146,GLMN
5350,2739,GLO1
445154,2739,GLO1
65064,51022,GLRX2
445154,51022,GLRX2
65064,2744,GLS
445154,27165,GLS2
2519,55830,GLT8D1
65064,55830,GLT8D1
445154,388323,GLTPD2
65064,2746,GLUD1
1548943,2746,GLUD1
445154,2746,GLUD1
2519,2746,GLUD1
2519,84656,GLYR1
5350,2762,GMDS
2519,51053,GMNN
445154,51053,GMNN
65064,2770,GNAI1
445154,2771,GNAI2
2519,59345,GNB4
445154,59345,GNB4
65064,10020,GNE
445154,2786,GNG4
2519,2787,GNG5
2519,2794,GNL1
65064,26354,GNL3
2519,54552,GNL3L
445154,54552,GNL3L
2519,8443,GNPAT
65064,79158,GNPTAB
445154,79158,GNPTAB
65064,2796,GNRH1
445154,2799,GNS
2519,2800,GOLGA1
65064,2800,GOLGA1
2519,2801,GOLGA2
2519,2802,GOLGA3
2519,2803,GOLGA4
445154,2803,GOLGA4
2519,2804,GOLGB1
445154,2804,GOLGB1
445154,27333,GOLIM4
65064,27333,GOLIM4
445154,51026,GOLT1B
2519,54856,GON4L
445154,57120,GOPC
2519,57120,GOPC
445154,92344,GORAB
2519,64689,GORASP1
2519,26003,GORASP2
445154,9570,GOSR2
65064,2806,GOT2
2519,2806,GOT2
445154,8733,GPAA1
445154,55425,GPALPP1
2519,57678,GPAM
2519,55094,GPATCH1
445154,55094,GPATCH1
2519,55105,GPATCH2
445154,55105,GPATCH2
2519,55668,GPATCH2L
445154,54865,GPATCH4
65064,54865,GPATCH4
2519,23131,GPATCH8
2519,65056,GPBP1
2519,60313,GPBP1L1
5350,2262,GPC5
445154,10082,GPC6
445154,2819,GPD1
445154,2820,GPD2
65064,10243,GPHN
2519,10243,GPHN
2519,2821,GPI
445154,338328,GPIHBP1
2519,27238,GPKOW
5350,2822,GPLD1
445154,2822,GPLD1
5350,2824,GPM6B
445154,11321,GPN1
445154,51184,GPN3
65064,57720,GPR107
5350,64582,GPR135
445154,4935,GPR143
5350,387509,GPR153
445154,151556,GPR155
445154,23432,GPR161
445154,2840,GPR17
65064,160897,GPR180
65064,2844,GPR21
5350,2827,GPR3
445154,2827,GPR3
5350,9283,GPR37L1
445154,9283,GPR37L1
445154,27201,GPR78
65064,51704,GPRC5B
5350,51704,GPRC5B
2519,55890,GPRC5C
445154,114787,GPRIN1
5350,9721,GPRIN2
2519,2873,GPS1
445154,26086,GPSM1
445154,63940,GPSM3
5350,63940,GPSM3
445154,2875,GPT
445154,2877,GPX2
5350,2879,GPX4
445154,2879,GPX4
6917864,2879,GPX4
445154,57655,GRAMD1A
2519,57655,GRAMD1A
445154,2885,GRB2
2519,9687,GREB1
445154,9687,GREB1
5833,9687,GREB1
445154,2904,GRIN2B
445154,2906,GRIN2D
2519,56850,GRIPAP1
445154,56850,GRIPAP1
445154,6011,GRK1
2519,2870,GRK6
2519,2911,GRM1
445154,2913,GRM3
445154,2914,GRM4
445154,2917,GRM7
445154,2918,GRM8
65064,2896,GRN
445154,2896,GRN
1794427,2896,GRN
445154,2922,GRP
2519,83743,GRWD1
445154,145258,GSC
445154,2928,GSC2
2519,23199,GSE1
445154,83445,GSG1
2519,2931,GSK3A
65064,2931,GSK3A
445154,2931,GSK3A
2519,2932,GSK3B
65064,2932,GSK3B
1548943,2932,GSK3B
445154,2932,GSK3B
445154,2935,GSPT1
445154,2936,GSR
5350,2936,GSR
65064,2936,GSR
65064,2937,GSS
445154,2937,GSS
445154,2938,GSTA1
639665,2938,GSTA1
5350,2938,GSTA1
6917864,2948,GSTM4
2519,9446,GSTO1
639665,2950,GSTP1
65064,2950,GSTP1
5350,2950,GSTP1
6917864,2950,GSTP1
1548943,2950,GSTP1
445154,2950,GSTP1
6917864,2954,GSTZ1
445154,2957,GTF2A1
445154,2959,GTF2B
2519,2959,GTF2B
2519,2960,GTF2E1
445154,2961,GTF2E2
2519,2963,GTF2F2
445154,2968,GTF2H4
65064,404672,GTF2H5
2519,2969,GTF2I
65064,9569,GTF2IRD1
2519,9569,GTF2IRD1
445154,2971,GTF3A
2519,2975,GTF3C1
65064,2976,GTF3C2
2519,2976,GTF3C2
2519,9330,GTF3C3
445154,9330,GTF3C3
65064,9329,GTF3C4
2519,9328,GTF3C5
2519,9567,GTPBP1
65064,54676,GTPBP2
2519,23560,GTPBP4
445154,23560,GTPBP4
445154,2980,GUCA2A
445154,2977,GUCY1A2
445154,60558,GUF1
65064,51454,GULP1
445154,283464,GXYLT1
445154,2993,GYPA
2519,2997,GYS1
445154,2997,GYS1
2519,64412,GZF1
1548943,3001,GZMA
2519,22927,HABP4
445154,57531,HACE1
2519,57531,HACE1
445154,26061,HACL1
445154,3033,HADH
2519,3030,HADHA
445154,84264,HAGHL
65064,3036,HAS1
445154,3036,HAS1
1794427,3036,HAS1
2519,54930,HAUS4
445154,3043,HBB
445154,3048,HBG2
445154,3049,HBQ1
2519,10767,HBS1L
445154,10767,HBS1L
445154,3052,HCCS
2519,3054,HCFC1
445154,54985,HCFC1R1
445154,29915,HCFC2
445154,3061,HCRTR1
5350,3065,HDAC1
445154,3065,HDAC1
5350,79885,HDAC11
5350,8841,HDAC3
445154,8841,HDAC3
2519,9759,HDAC4
2519,10014,HDAC5
445154,10014,HDAC5
5350,10014,HDAC5
65064,10014,HDAC5
5350,10013,HDAC6
2519,51564,HDAC7
445154,51564,HDAC7
65064,55869,HDAC8
445154,55869,HDAC8
5350,9734,HDAC9
445154,9734,HDAC9
2519,51020,HDDC2
2519,3069,HDLBP
2519,55127,HEATR1
445154,55127,HEATR1
445154,55027,HEATR3
65064,55027,HEATR3
2519,55027,HEATR3
445154,399671,HEATR4
65064,25938,HEATR5A
445154,25938,HEATR5A
65064,54497,HEATR5B
2519,63897,HEATR6
65064,63897,HEATR6
2519,23593,HEBP2
445154,25831,HECTD1
2519,25831,HECTD1
2519,283450,HECTD4
445154,283450,HECTD4
5350,23072,HECW1
445154,23072,HECW1
2519,92797,HELB
445154,3070,HELLS
2519,3070,HELLS
445154,113510,HELQ
2519,9931,HELZ
65064,51409,HEMK1
2519,8924,HERC2
445154,8916,HERC3
65064,64224,HERPUD2
445154,3280,HES1
65064,3280,HES1
5350,54626,HES2
445154,388585,HES5
445154,3073,HEXA
65064,10614,HEXIM1
2519,124790,HEXIM2
445154,3082,HGF
65064,3082,HGF
5281672,3082,HGF
2519,9146,HGS
65064,3087,HHEX
5350,3087,HHEX
445154,64399,HHIP
65064,79802,HHIPL2
2519,79802,HHIPL2
65064,26275,HIBCH
445154,26275,HIBCH
2519,23119,HIC2
5350,23119,HIC2
445154,283987,HID1
5281672,3091,HIF1A
65064,3091,HIF1A
5350,3091,HIF1A
445154,3091,HIF1A
1548943,3091,HIF1A
65064,55662,HIF1AN
445154,64344,HIF3A
2519,25994,HIGD1A
445154,25994,HIGD1A
445154,135114,HINT3
65064,3092,HIP1
2519,3092,HIP1
2519,7290,HIRA
65064,3096,HIVEP1
2519,3096,HIVEP1
445154,3096,HIVEP1
2519,3097,HIVEP2
65064,3097,HIVEP2
5350,59269,HIVEP3
2519,55355,HJURP
445154,55355,HJURP
445154,3099,HK2
5281672,3099,HK2
65064,3099,HK2
5350,80201,HKDC1
2519,3105,HLA-A
5350,3106,HLA-B
5350,3107,HLA-C
5350,3108,HLA-DMA
5350,3113,HLA-DPA1
5350,3115,HLA-DPB1
5350,3122,HLA-DRA
445154,3134,HLA-F
65064,3141,HLCS
2519,3141,HLCS
1794427,3141,HLCS
445154,3141,HLCS
2519,6596,HLTF
445154,6596,HLTF
65064,6596,HLTF
445154,3145,HMBS
65064,3159,HMGA1
445154,3159,HMGA1
2519,3159,HMGA1
5350,8091,HMGA2
65064,8091,HMGA2
2519,8091,HMGA2
2519,3156,HMGCR
65064,3156,HMGCR
445154,3156,HMGCR
2519,3157,HMGCS1
65064,3157,HMGCS1
445154,3157,HMGCS1
65064,9324,HMGN3
2519,10042,HMGXB4
5350,3161,HMMR
445154,3161,HMMR
65064,3161,HMMR
5350,3162,HMOX1
1794427,3162,HMOX1
639665,3162,HMOX1
5281672,3162,HMOX1
445154,3162,HMOX1
65064,3162,HMOX1
1548943,3162,HMOX1
65064,3163,HMOX2
445154,6927,HNF1A
6451084,6927,HNF1A
2519,6927,HNF1A
4091,6928,HNF1B
445154,6928,HNF1B
445154,3176,HNMT
2519,3178,HNRNPA1
65064,3178,HNRNPA1
445154,3178,HNRNPA1
445154,3181,HNRNPA2B1
2519,3181,HNRNPA2B1
2519,220988,HNRNPA3
445154,220988,HNRNPA3
2519,3182,HNRNPAB
445154,3182,HNRNPAB
5350,3183,HNRNPC
2519,3183,HNRNPC
445154,3183,HNRNPC
445154,343069,HNRNPCL1
2519,3184,HNRNPD
2519,9987,HNRNPDL
65064,3185,HNRNPF
2519,3185,HNRNPF
5350,3185,HNRNPF
65064,3187,HNRNPH1
2519,3187,HNRNPH1
445154,3187,HNRNPH1
5350,3187,HNRNPH1
445154,3189,HNRNPH3
2519,3189,HNRNPH3
2519,3190,HNRNPK
5350,3190,HNRNPK
2519,3191,HNRNPL
2519,92906,HNRNPLL
2519,4670,HNRNPM
445154,4670,HNRNPM
445154,3192,HNRNPU
2519,3192,HNRNPU
2519,221092,HNRNPUL2
445154,221092,HNRNPUL2
5350,112817,HOGA1
65064,9456,HOMER1
445154,9455,HOMER2
445154,51361,HOOK1
2519,51361,HOOK1
2519,84376,HOOK3
445154,84376,HOOK3
445154,3209,HOXA13
445154,3200,HOXA3
445154,3216,HOXB6
65064,3219,HOXB9
445154,3219,HOXB9
445154,3223,HOXC6
5350,3223,HOXC6
445154,3224,HOXC8
445154,3237,HOXD11
445154,3238,HOXD12
445154,3239,HOXD13
2519,3233,HOXD4
5350,3240,HP
2519,50809,HP1BP3
445154,3208,HPCA
445154,3241,HPCAL1
445154,3242,HPD
2519,3242,HPD
5350,3248,HPGD
5350,27306,HPGDS
445154,3249,HPN
5350,3250,HPR
445154,3251,HPRT1
2519,89781,HPS4
65064,11234,HPS5
2519,11234,HPS5
445154,10855,HPSE
5350,10855,HPSE
445154,55806,HR
5350,55806,HR
1548943,3265,HRAS
445154,3265,HRAS
4091,3265,HRAS
2519,3270,HRC
445154,3273,HRG
2519,64342,HS1BP3
445154,3281,HSBP1
445154,3291,HSD11B2
2519,3291,HSD11B2
445154,3292,HSD17B1
445154,3028,HSD17B10
445154,51144,HSD17B12
445154,3295,HSD17B4
445154,80270,HSD3B7
65064,84263,HSDL2
445154,84263,HSDL2
2519,3297,HSF1
445154,3297,HSF1
5350,3297,HSF1
5350,3320,HSP90AA1
2519,3320,HSP90AA1
445154,259217,HSPA12A
5350,6782,HSPA13
445154,51182,HSPA14
2519,3304,HSPA1B
5350,3304,HSPA1B
445154,3304,HSPA1B
65064,3304,HSPA1B
5350,3305,HSPA1L
65064,3305,HSPA1L
5350,3306,HSPA2
65064,3308,HSPA4
445154,3308,HSPA4
5350,3308,HSPA4
2519,3308,HSPA4
1548943,3309,HSPA5
445154,3309,HSPA5
445154,3316,HSPB2
5350,8988,HSPB3
445154,126393,HSPB6
445154,27129,HSPB7
65064,27129,HSPB7
5350,27129,HSPB7
445154,94086,HSPB9
445154,79663,HSPBAP1
5350,10808,HSPH1
2519,10808,HSPH1
445154,10808,HSPH1
445154,27336,HTATSF1
2519,27336,HTATSF1
445154,3351,HTR1B
445154,3354,HTR1E
65064,27429,HTRA2
445154,3064,HTT
2519,3064,HTT
2519,10075,HUWE1
445154,3373,HYAL1
445154,123688,HYKK
445154,219844,HYLS1
65064,219844,HYLS1
445154,55699,IARS2
445154,3385,ICAM3
5350,3385,ICAM3
2519,23379,ICE1
445154,23379,ICE1
65064,79664,ICE2
2519,79664,ICE2
445154,79664,ICE2
445154,3397,ID1
65064,3398,ID2
5350,3398,ID2
2519,3398,ID2
5350,3399,ID3
445154,3399,ID3
65064,3416,IDE
4091,3417,IDH1
445154,3417,IDH1
445154,3418,IDH2
65064,3422,IDI1
445154,3620,IDO1
445154,3423,IDS
445154,8870,IER3
445154,10437,IFI30
5350,10437,IFI30
445154,3430,IFI35
445154,2537,IFI6
65064,2537,IFI6
445154,64135,IFIH1
65064,64135,IFIH1
5350,64135,IFIH1
65064,24138,IFIT5
445154,3455,IFNAR2
2519,3455,IFNAR2
445154,3458,IFNG
5833,3458,IFNG
2519,3459,IFNGR1
445154,282616,IFNL2
445154,3475,IFRD1
2519,3475,IFRD1
445154,55764,IFT122
445154,112752,IFT43
